Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Role
B.Des,Fine Arts,Graphic Communication,8.55,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Entertainment,UI/UX Designer
B.Tech,Fine Arts,Branding,7.46,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Entertainment,UI/UX Designer
B.Tech,Information Technology,Interaction Design,7.89,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,1,FinTech,Graphic Designer
BFA,Fine Arts,Human-Computer Interaction,8.28,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Motion Design Certification,1,IT/Software,Graphic Designer
BCA,Computer Science,Visual Communication,7.38,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,0,Tech,UI/UX Designer
B.Sc,Information Technology,User Research,8.17,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,IT/Software,Graphic Designer
BFA,Computer Science,Visual Communication,7.81,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,4,Marketing,Graphic Designer
B.Des,Fine Arts,Graphic Communication,8.67,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,3,Entertainment,Graphic Designer
BCA,Information Technology,Branding,9.05,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,0,Entertainment,Graphic Designer
M.Des,Information Technology,Visual Communication,8.29,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,2,Tech,Graphic Designer
B.Des,Information Technology,Branding,9.11,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BCA,Design,Human-Computer Interaction,9.31,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,1,Tech,UI/UX Designer
B.Sc,Design,Visual Communication,8.56,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Marketing,Graphic Designer
B.Tech,Information Technology,Interaction Design,8.18,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,4,E-Learning,UI/UX Designer
BCA,Applied Arts,User Experience Design,8.34,"Prototyping, UX Strategy, User Journey, Design Thinking",IBM Design Thinking,1,Advertising,UI/UX Designer
BFA,Design,Interaction Design,7.71,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,2,Tech,UI/UX Designer
B.Sc,Computer Science,User Experience Design,8.13,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,4,FinTech,UI/UX Designer
B.Des,Design,Branding,7.88,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,0,FinTech,Graphic Designer
B.Sc,Applied Arts,User Research,9.19,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,4,IT/Software,UI/UX Designer
M.Des,Design,Visual Communication,8.41,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Adobe Certified Expert,0,IT/Software,Graphic Designer
B.Tech,Information Technology,User Experience Design,8.55,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,3,Tech,Graphic Designer
BCA,Applied Arts,Human-Computer Interaction,9.06,"React, CSS, UX Research, Accessibility, UI Flow",Google UX Design,2,E-Learning,UI/UX Designer
BCA,Computer Science,Visual Communication,9.16,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,1,Entertainment,UI/UX Designer
BFA,Computer Science,Graphic Communication,8.33,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Advertising,UI/UX Designer
BFA,Fine Arts,User Research,8.59,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Coursera UX Fundamentals,1,Entertainment,UI/UX Designer
B.Tech,Design,Human-Computer Interaction,8.16,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Tech,UI/UX Designer
B.Des,Information Technology,Interaction Design,7.17,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,0,Marketing,Graphic Designer
BCA,Computer Science,Visual Communication,9.42,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Adobe Certified Expert,2,Tech,Graphic Designer
BCA,Applied Arts,Graphic Communication,7.68,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,2,E-Learning,Graphic Designer
B.Des,Information Technology,Branding,8.85,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
B.Sc,Applied Arts,User Experience Design,7.76,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,3,Advertising,UI/UX Designer
B.Sc,Applied Arts,Motion Graphics,8.13,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,4,Media,Graphic Designer
BCA,Fine Arts,Motion Graphics,9.1,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,4,E-Learning,Graphic Designer
B.Tech,Design,Motion Graphics,9.16,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
M.Des,Information Technology,Graphic Communication,9.45,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Canva Pro Certification,3,Advertising,Graphic Designer
BCA,Information Technology,User Experience Design,8.72,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Des,Computer Science,Human-Computer Interaction,7.2,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,1,Media,Graphic Designer
B.Tech,Computer Science,Visual Communication,8.62,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Tech,UI/UX Designer
B.Des,Applied Arts,Branding,7.27,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,1,IT/Software,UI/UX Designer
BCA,Applied Arts,Interaction Design,8.14,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,3,Tech,UI/UX Designer
M.Des,Computer Science,Branding,8.62,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,2,Tech,Graphic Designer
B.Tech,Fine Arts,Graphic Communication,9.46,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,1,FinTech,Graphic Designer
B.Tech,Applied Arts,Visual Communication,8.93,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,2,Advertising,UI/UX Designer
BFA,Information Technology,Visual Communication,7.4,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,4,Advertising,UI/UX Designer
M.Des,Computer Science,Motion Graphics,7.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,Advertising,Graphic Designer
BCA,Design,User Experience Design,8.78,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,2,IT/Software,Graphic Designer
B.Tech,Information Technology,Visual Communication,7.67,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Entertainment,Graphic Designer
BFA,Fine Arts,Graphic Communication,7.99,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Sc,Computer Science,Branding,8.14,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,4,Media,Graphic Designer
BCA,Design,Graphic Communication,8.93,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,2,IT/Software,Graphic Designer
B.Tech,Applied Arts,Human-Computer Interaction,7.1,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BFA,Fine Arts,Motion Graphics,8.28,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Motion Design Certification,0,Entertainment,Graphic Designer
B.Tech,Computer Science,Graphic Communication,7.78,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,1,Marketing,UI/UX Designer
BCA,Information Technology,Motion Graphics,7.91,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,0,FinTech,Graphic Designer
BFA,Applied Arts,User Experience Design,8.7,"Prototyping, UX Strategy, User Journey, Design Thinking",Coursera UX Fundamentals,1,Marketing,UI/UX Designer
B.Sc,Design,Graphic Communication,7.17,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,4,Tech,Graphic Designer
BFA,Applied Arts,Visual Communication,9.06,"React, CSS, UX Research, Accessibility, UI Flow",UI/UX Bootcamp by Udemy,3,Media,UI/UX Designer
B.Des,Computer Science,Visual Communication,8.5,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Canva Pro Certification,3,Entertainment,Graphic Designer
BCA,Applied Arts,Visual Communication,8.58,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,3,Marketing,Graphic Designer
BCA,Applied Arts,Visual Communication,7.12,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Canva Pro Certification,4,Media,Graphic Designer
B.Sc,Applied Arts,Branding,8.81,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,E-Learning,UI/UX Designer
BFA,Design,User Experience Design,8.59,"HTML, CSS, JS, UI Design, Usability Testing",Google UX Design,4,IT/Software,UI/UX Designer
BCA,Computer Science,Interaction Design,8.52,"HTML, CSS, JS, UI Design, Usability Testing",Coursera UX Fundamentals,1,Advertising,UI/UX Designer
M.Des,Design,User Research,7.93,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,4,Advertising,Graphic Designer
M.Des,Applied Arts,Motion Graphics,8.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Canva Pro Certification,2,Media,Graphic Designer
B.Des,Fine Arts,Interaction Design,7.24,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,4,Marketing,UI/UX Designer
BFA,Applied Arts,Motion Graphics,7.73,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,3,Media,Graphic Designer
M.Des,Information Technology,Branding,8.04,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,3,Tech,UI/UX Designer
BCA,Computer Science,Graphic Communication,8.24,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Canva Pro Certification,0,Advertising,Graphic Designer
B.Sc,Design,User Research,8.93,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,2,Tech,UI/UX Designer
M.Des,Design,Visual Communication,8.99,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,0,Tech,Graphic Designer
B.Des,Information Technology,Interaction Design,8.8,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Motion Design Certification,0,FinTech,Graphic Designer
BFA,Design,User Experience Design,7.93,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,4,E-Learning,UI/UX Designer
B.Des,Design,Human-Computer Interaction,8.48,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,1,E-Learning,Graphic Designer
BCA,Design,Branding,7.69,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,2,E-Learning,UI/UX Designer
B.Tech,Design,Interaction Design,8.2,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,4,Marketing,UI/UX Designer
B.Tech,Information Technology,Visual Communication,7.31,"HTML, CSS, JS, UI Design, Usability Testing",Google UX Design,3,IT/Software,UI/UX Designer
BFA,Information Technology,User Experience Design,9.11,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,1,Media,UI/UX Designer
B.Des,Design,User Research,7.95,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,4,E-Learning,Graphic Designer
BFA,Design,Human-Computer Interaction,7.9,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,FinTech,UI/UX Designer
BFA,Applied Arts,User Experience Design,9.04,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,1,FinTech,Graphic Designer
BCA,Design,User Research,8.49,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,0,Marketing,Graphic Designer
BCA,Fine Arts,Visual Communication,7.42,"React, CSS, UX Research, Accessibility, UI Flow",Google UX Design,0,Media,UI/UX Designer
B.Des,Applied Arts,Branding,9.04,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Graphic Design Masterclass,4,E-Learning,Graphic Designer
BFA,Design,Branding,9.43,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,2,Tech,Graphic Designer
B.Sc,Design,Motion Graphics,7.94,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Coursera Graphic Design,2,E-Learning,Graphic Designer
B.Sc,Applied Arts,Human-Computer Interaction,7.96,"Prototyping, UX Strategy, User Journey, Design Thinking",Coursera UX Fundamentals,1,Entertainment,UI/UX Designer
B.Tech,Information Technology,Graphic Communication,8.36,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,Marketing,UI/UX Designer
B.Des,Fine Arts,Graphic Communication,7.59,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,0,Advertising,Graphic Designer
B.Des,Applied Arts,Visual Communication,7.14,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Motion Design Certification,1,Advertising,Graphic Designer
BCA,Applied Arts,Interaction Design,8.75,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",IBM Design Thinking,1,E-Learning,UI/UX Designer
B.Tech,Fine Arts,Interaction Design,8.16,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,3,Advertising,UI/UX Designer
BFA,Applied Arts,Branding,7.88,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Canva Pro Certification,4,IT/Software,Graphic Designer
BCA,Applied Arts,Branding,7.3,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,4,Entertainment,Graphic Designer
BCA,Design,Interaction Design,8.21,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,1,Tech,Graphic Designer
BCA,Fine Arts,Interaction Design,9.26,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",IBM Design Thinking,3,IT/Software,UI/UX Designer
B.Des,Computer Science,Visual Communication,8.53,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,2,Tech,Graphic Designer
BFA,Design,Graphic Communication,7.89,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,1,IT/Software,UI/UX Designer
B.Des,Design,Human-Computer Interaction,9.34,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,4,Media,UI/UX Designer
B.Des,Computer Science,Motion Graphics,7.76,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,1,IT/Software,Graphic Designer
B.Tech,Design,Interaction Design,7.35,"React, CSS, UX Research, Accessibility, UI Flow",Coursera UX Fundamentals,2,Entertainment,UI/UX Designer
B.Des,Applied Arts,User Experience Design,7.85,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,1,Media,UI/UX Designer
BCA,Computer Science,Human-Computer Interaction,7.92,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,2,Tech,Graphic Designer
B.Des,Computer Science,User Research,8.89,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,2,FinTech,Graphic Designer
M.Des,Computer Science,Human-Computer Interaction,7.95,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,1,IT/Software,UI/UX Designer
B.Tech,Information Technology,Motion Graphics,8.6,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,2,Marketing,Graphic Designer
B.Des,Fine Arts,Visual Communication,7.35,"HTML, CSS, JS, UI Design, Usability Testing",Coursera UX Fundamentals,3,Entertainment,UI/UX Designer
B.Sc,Design,Human-Computer Interaction,8.71,"React, CSS, UX Research, Accessibility, UI Flow",UI/UX Bootcamp by Udemy,4,E-Learning,UI/UX Designer
B.Sc,Design,Branding,8.89,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,3,Marketing,UI/UX Designer
B.Tech,Computer Science,Human-Computer Interaction,7.17,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,3,IT/Software,UI/UX Designer
B.Des,Applied Arts,Branding,8.88,"React, CSS, UX Research, Accessibility, UI Flow",Coursera UX Fundamentals,4,Advertising,UI/UX Designer
B.Tech,Applied Arts,Branding,7.73,"HTML, CSS, JS, UI Design, Usability Testing",Coursera UX Fundamentals,0,E-Learning,UI/UX Designer
B.Tech,Computer Science,Interaction Design,7.77,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Motion Design Certification,4,Tech,Graphic Designer
B.Des,Computer Science,Interaction Design,8.44,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,0,Tech,Graphic Designer
B.Tech,Fine Arts,Visual Communication,7.91,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,1,Entertainment,Graphic Designer
BCA,Information Technology,User Research,7.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Canva Pro Certification,2,Entertainment,Graphic Designer
B.Tech,Fine Arts,User Experience Design,7.75,"HTML, CSS, JS, UI Design, Usability Testing",Google UX Design,1,Marketing,UI/UX Designer
BFA,Information Technology,Interaction Design,8.01,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,0,E-Learning,Graphic Designer
B.Sc,Design,User Experience Design,8.83,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Coursera UX Fundamentals,4,FinTech,UI/UX Designer
BCA,Computer Science,Human-Computer Interaction,9.45,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,1,IT/Software,UI/UX Designer
B.Sc,Computer Science,Motion Graphics,9.34,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,1,E-Learning,UI/UX Designer
BCA,Applied Arts,Graphic Communication,9.17,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",IBM Design Thinking,0,Marketing,UI/UX Designer
M.Des,Information Technology,Motion Graphics,8.16,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,2,Media,UI/UX Designer
BFA,Fine Arts,Visual Communication,9.47,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,0,Media,Graphic Designer
B.Tech,Design,Graphic Communication,9.38,"React, CSS, UX Research, Accessibility, UI Flow",Nielsen Norman UX Certificate,3,Media,UI/UX Designer
B.Sc,Design,Branding,8.74,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,3,Entertainment,Graphic Designer
B.Des,Fine Arts,Graphic Communication,8.11,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,2,FinTech,Graphic Designer
M.Des,Fine Arts,Motion Graphics,9.01,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,1,FinTech,UI/UX Designer
M.Des,Applied Arts,Graphic Communication,7.66,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,3,Marketing,Graphic Designer
BCA,Computer Science,Graphic Communication,9.12,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,2,E-Learning,UI/UX Designer
BCA,Design,Visual Communication,8.6,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,0,IT/Software,Graphic Designer
BFA,Information Technology,Interaction Design,8.48,"HTML, CSS, JS, UI Design, Usability Testing",Coursera UX Fundamentals,3,Media,UI/UX Designer
B.Tech,Computer Science,User Experience Design,8.56,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,1,Advertising,Graphic Designer
B.Des,Computer Science,Visual Communication,7.88,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,4,E-Learning,UI/UX Designer
B.Tech,Information Technology,Branding,8.02,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Graphic Design Masterclass,1,Marketing,Graphic Designer
BFA,Information Technology,User Research,8,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,1,Advertising,UI/UX Designer
BCA,Applied Arts,Interaction Design,9.2,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,0,Advertising,UI/UX Designer
B.Sc,Applied Arts,Graphic Communication,9.21,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,1,Media,Graphic Designer
B.Des,Design,Branding,7.62,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Canva Pro Certification,1,E-Learning,Graphic Designer
BCA,Applied Arts,User Research,8.74,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,2,Media,Graphic Designer
B.Des,Fine Arts,Visual Communication,9.15,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,1,E-Learning,Graphic Designer
B.Des,Applied Arts,Human-Computer Interaction,9.44,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,0,Media,Graphic Designer
BFA,Fine Arts,Visual Communication,7.51,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,4,FinTech,Graphic Designer
B.Des,Information Technology,Visual Communication,9.19,"Prototyping, UX Strategy, User Journey, Design Thinking",Coursera UX Fundamentals,4,FinTech,UI/UX Designer
B.Tech,Applied Arts,Motion Graphics,9.2,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,3,Advertising,UI/UX Designer
B.Tech,Information Technology,User Experience Design,7.98,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,3,FinTech,Graphic Designer
B.Sc,Computer Science,Branding,7.79,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,1,Media,UI/UX Designer
BFA,Fine Arts,Graphic Communication,7.29,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Tech,UI/UX Designer
BFA,Fine Arts,Interaction Design,7.3,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,2,IT/Software,Graphic Designer
B.Des,Computer Science,Visual Communication,7.53,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Adobe Certified Expert,0,Entertainment,Graphic Designer
